sentence_id,condition,oci_A_Default,oci_B_Edit_heavy,oci_C_Style_heavy,oci_D_Similarity_heavy,oci_E_Equal_weights
ABC.train.gold.bea19_017632,fewshot,0.017963386727688838,0.025454941702081325,0.012727470851040699,0.012727470851040772,0.011921107115615196
ABC.train.gold.bea19_017632,instruction,0.017963386727688838,0.025454941702081325,0.012727470851040699,0.012727470851040772,0.011921107115615196
ABC.train.gold.bea19_017632,role,0.017963386727688838,0.025454941702081325,0.012727470851040699,0.012727470851040772,0.011921107115615196
ABC.train.gold.bea19_030151,fewshot,0.02009433620635661,0.0233033628502018,0.01742557947268435,0.014584207384267737,0.014921231772346744
ABC.train.gold.bea19_030151,instruction,0.02009433620635661,0.0233033628502018,0.01742557947268435,0.014584207384267737,0.014921231772346744
ABC.train.gold.bea19_030151,role,0.02009433620635661,0.0233033628502018,0.01742557947268435,0.014584207384267737,0.014921231772346744
C.train.gold.bea19_004380,fewshot,0.01622585306651627,0.02174809513576839,0.013147483216847075,0.01202471852829261,0.011609408098713421
C.train.gold.bea19_004380,instruction,0.01622585306651627,0.02174809513576839,0.013147483216847075,0.01202471852829261,0.011609408098713421
C.train.gold.bea19_004380,role,0.01622585306651627,0.02174809513576839,0.013147483216847075,0.01202471852829261,0.011609408098713421
B.train.gold.bea19_003647,fewshot,0.08868357720819314,0.07834861694769804,0.09161312172232514,0.0655297961367665,0.07527193150899529
B.train.gold.bea19_003647,instruction,0.08868357720819314,0.07834861694769804,0.09161312172232514,0.0655297961367665,0.07527193150899529
B.train.gold.bea19_003647,role,0.08868357720819314,0.07834861694769804,0.09161312172232514,0.0655297961367665,0.07527193150899529
ABC.train.gold.bea19_004542,fewshot,0.05680063205425008,0.044244006896317654,0.06188842194614563,0.04203174379767986,0.05059868777895043
ABC.train.gold.bea19_004542,instruction,0.05680063205425008,0.044244006896317654,0.06188842194614563,0.04203174379767986,0.05059868777895043
ABC.train.gold.bea19_004542,role,0.05680063205425008,0.044244006896317654,0.06188842194614563,0.04203174379767986,0.05059868777895043
A.train.gold.bea19_001569,fewshot,0.006893592677345537,0.009692710035959463,0.0048463550179797315,0.0048463550179797315,0.005181431840470742
A.train.gold.bea19_001569,instruction,0.006893592677345537,0.009692710035959463,0.0048463550179797315,0.0048463550179797315,0.005181431840470742
A.train.gold.bea19_001569,role,0.006893592677345537,0.009692710035959463,0.0048463550179797315,0.0048463550179797315,0.005181431840470742
ABC.train.gold.bea19_028754,fewshot,0.009207296402782386,0.013022800413231192,0.006516874696342375,0.006527823675795932,0.006261357609724888
ABC.train.gold.bea19_028754,instruction,0.009207296402782386,0.013022800413231192,0.006516874696342375,0.006527823675795932,0.006261357609724888
ABC.train.gold.bea19_028754,role,0.009207296402782386,0.013022800413231192,0.006516874696342375,0.006527823675795932,0.006261357609724888
C.train.gold.bea19_005366,fewshot,0.014349611442479211,0.02029273255705084,0.01023958181019373,0.010426012873530349,0.009107752599997345
C.train.gold.bea19_005366,instruction,0.014349611442479211,0.02029273255705084,0.01023958181019373,0.010426012873530349,0.009107752599997345
C.train.gold.bea19_005366,role,0.014349611442479211,0.02029273255705084,0.01023958181019373,0.010426012873530349,0.009107752599997345
B.dev.gold.bea19_000552,fewshot,0.1417662303318195,0.07726480663652666,0.1739044800764527,0.1071564622733195,0.14056717093532492
B.dev.gold.bea19_000552,instruction,0.006712433257055682,0.009451164142239657,0.004725582071119829,0.004725582071119829,0.004939885946750935
B.dev.gold.bea19_000552,role,0.006712433257055682,0.009451164142239657,0.004725582071119829,0.004725582071119829,0.004939885946750935
B.train.gold.bea19_000595,fewshot,0.08055065189077999,0.0643283631107979,0.08661048045126112,0.059436119160750055,0.07126051831051375
B.train.gold.bea19_000595,instruction,0.08055065189077999,0.0643283631107979,0.08661048045126112,0.059436119160750055,0.07126051831051375
B.train.gold.bea19_000595,role,0.08055065189077999,0.0643283631107979,0.08661048045126112,0.059436119160750055,0.07126051831051375
ABC.train.gold.bea19_029091,fewshot,0.05984996416835222,0.048219484121388136,0.06411126279535449,0.04411430426467542,0.052431531171838054
ABC.train.gold.bea19_029091,instruction,0.05061052183149774,0.041068399087629104,0.05428883624144336,0.03743279278644095,0.04441613782873974
ABC.train.gold.bea19_029091,role,0.05061052183149774,0.041068399087629104,0.05428883624144336,0.03743279278644095,0.04441613782873974
ABC.train.gold.bea19_021151,fewshot,0.01905034324942797,0.026904217064400163,0.013452108532200118,0.013452108532200191,0.013370382477934038
ABC.train.gold.bea19_021151,instruction,0.012700228832951996,0.017936144709600123,0.008968072354800098,0.00896807235480017,0.008913588318622715
ABC.train.gold.bea19_021151,role,0.01905034324942797,0.026904217064400163,0.013452108532200118,0.013452108532200191,0.013370382477934038
